Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2511","Wheat and products","2022","2022","1000 t","1149","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","9042","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","55","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2511","Wheat and products","2022","2022","1000 t","2630","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2807","Rice and products","2022","2022","1000 t","57189","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","1295","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","19","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2807","Rice and products","2022","2022","1000 t","42258","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2520","Cereals, other","2022","2022","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","38","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2520","Cereals, other","2022","2022","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2541","Sugar non-centrifugal","2022","2022","1000 t","188","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2541","Sugar non-centrifugal","2022","2022","1000 t","188","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","7","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","5392","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","94","I","Imputed value",""
