COUNTRY,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2008,2011,2022
Afghanistan,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,87.60310525,83.76986204,161.3945914
Albania,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,65.65,75.60802527,117.2793788
Algeria,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,128.395,150.9625,265.5766667
Angola,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,145.366072
Antigua and Barbuda,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,115.485
Argentina,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,902.807675
Armenia,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,111.4446107,166.7037891
Aruba,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,102.37825,109.1465833,
Australia,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,89.90566,99.3668625,
Austria,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,80.17724083,84.17482833,111.625
Azerbaijan,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,94.642595,110.605144,228.5932113
"Bahamas, The",Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,127.2166667
Bahrain,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,85.04705088,116.2833333
Bangladesh,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,53.89540612,103.7279673
Barbados,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,95.37938867
Belarus,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,11.21565983,23.02716558,93.25915068
Belgium,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,89.05416667,93.78416667,119.805
Belize,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,
Benin,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,
Bhutan,Consumer price index (CPI),Food and non-alcoholic beverages,Index,Annual,Units,,,94.28126513
